time,open,high,low,close,Volume,close_lag_1,close_lag_2,close_lag_3,close_lag_4,close_lag_5
2004-04-28,107552.3107,108559.0406,105622.745,108419.217,0,106807.3522,110450.7776,109525.5049,109196.2362,108404.9228
2004-04-29,108469.0764,109336.3813,108021.4351,108217.2781,0,108419.217,106807.3522,110450.7776,109525.5049,109196.2362
2004-05-03,108111.4958,110155.0326,108111.4958,109819.1087,0,108217.2781,108419.217,106807.3522,110450.7776,109525.5049
2004-05-04,109692.9813,110414.3881,109189.6743,110168.3269,0,109819.1087,108217.2781,108419.217,106807.3522,110450.7776
2004-05-05,109901.3471,110125.0649,108251.4287,108363.2875,0,110168.3269,109819.1087,108217.2781,108419.217,106807.3522
2004-05-06,108880.4162,109694.8429,106072.0485,106409.0526,0,108363.2875,110168.3269,109819.1087,108217.2781,108419.217
2004-05-10,109380.042,109755.6206,108282.1969,109148.9168,0,106409.0526,108363.2875,110168.3269,109819.1087,108217.2781
2004-05-11,108675.2012,110516.1787,108473.8443,108675.2012,0,109148.9168,106409.0526,108363.2875,110168.3269,109819.1087
2004-05-12,109129.2083,109446.8642,107656.4405,108205.1187,0,108675.2012,109148.9168,106409.0526,108363.2875,110168.3269
2004-05-13,108759.2754,109601.0206,108381.9414,109310.7636,0,108205.1187,108675.2012,109148.9168,106409.0526,108363.2875
2004-05-17,110395.1472,110715.8091,109345.7083,109345.7083,0,109310.7636,108205.1187,108675.2012,109148.9168,106409.0526
2004-05-18,109162.6869,111460.5426,109162.6869,111169.6748,0,109345.7083,109310.7636,108205.1187,108675.2012,109148.9168
2004-05-19,111108.2347,111224.5175,110032.6186,110323.3257,0,111169.6748,109345.7083,109310.7636,108205.1187,108675.2012
2004-05-20,110450.0317,112632.2637,110275.4532,111788.4673,0,110323.3257,111169.6748,109345.7083,109310.7636,108205.1187
2004-05-24,114762.0642,116012.0659,114553.7305,115595.3986,0,111788.4673,110323.3257,111169.6748,109345.7083,109310.7636
