Date,USD,IDR
3/2/2014,"1.329,00 (-1.295,49)","497.785 (-865.953,27)"
3/3/2014,"1.354,60 (-1.269,89)","505.196 (-858.542,20)"
3/4/2014,"1.337,80 (-1.286,69)","500.006 (-863.732,46)"
3/5/2014,"1.339,80 (-1.284,69)","499.677 (-864.061,84)"
3/6/2014,"1.348,70 (-1.275,79)","499.744 (-863.994,73)"
3/7/2014,"1.339,60 (-1.284,89)","490.988 (-872.750,26)"
3/8/2014,"1.340,30 (-1.284,19)","491.245 (-872.493,70)"
3/9/2014,"1.340,30 (-1.284,19)","491.245 (-872.493,70)"
3/10/2014,"1.341,40 (-1.283,09)","491.648 (-872.090,52)"
3/11/2014,"1.344,10 (-1.280,39)","490.477 (-873.261,62)"
3/12/2014,"1.369,70 (-1.254,79)","503.121 (-860.617,13)"
3/13/2014,"1.373,40 (-1.251,09)","503.377 (-860.361,93)"
3/14/2014,"1.377,60 (-1.246,89)","503.809 (-859.929,83)"
3/15/2014,"1.382,50 (-1.241,99)","505.601 (-858.137,82)"
3/16/2014,"1.382,50 (-1.241,99)","505.601 (-858.137,82)"
3/17/2014,"1.373,40 (-1.251,09)","498.961 (-864.777,52)"
3/18/2014,"1.363,10 (-1.261,39)","494.123 (-869.615,16)"
3/19/2014,"1.340,90 (-1.283,59)","488.231 (-875.507,10)"
3/20/2014,"1.332,50 (-1.291,99)","489.457 (-874.281,52)"
3/21/2014,"1.335,50 (-1.288,99)","491.632 (-872.106,12)"
3/22/2014,"1.335,10 (-1.289,39)","491.485 (-872.253,37)"
3/23/2014,"1.335,10 (-1.289,39)","491.485 (-872.253,37)"
3/24/2014,"1.312,40 (-1.312,09)","481.019 (-882.719,56)"
3/25/2014,"1.312,30 (-1.312,19)","479.927 (-883.811,00)"
3/26/2014,"1.303,20 (-1.321,29)","477.647 (-886.091,53)"
3/27/2014,"1.294,90 (-1.329,59)","474.605 (-889.133,64)"
3/28/2014,"1.294,60 (-1.329,89)","474.495 (-889.243,59)"
3/29/2014,"1.295,40 (-1.329,09)","474.788 (-888.950,38)"
3/30/2014,"1.295,40 (-1.329,09)","474.788 (-888.950,38)"
3/31/2014,"1.288,10 (-1.336,39)","472.112 (-891.625,96)"
4/1/2014,"1.281,40 (-1.343,09)","464.507 (-899.231,38)"
4/2/2014,"1.291,60 (-1.332,89)","469.243 (-894.495,74)"
4/3/2014,"1.286,20 (-1.338,29)","467.281 (-896.457,58)"
4/4/2014,"1.305,70 (-1.318,79)","475.415 (-888.323,68)"
4/5/2014,"1.303,50 (-1.320,99)","474.614 (-889.124,71)"
4/6/2014,"1.303,50 (-1.320,99)","474.614 (-889.124,71)"
4/7/2014,"1.297,50 (-1.326,99)","471.386 (-892.352,25)"
4/8/2014,"1.310,50 (-1.313,99)","476.109 (-887.629,30)"
4/9/2014,"1.305,80 (-1.318,69)","474.402 (-889.336,83)"
4/10/2014,"1.319,40 (-1.305,09)","479.343 (-884.395,90)"
4/11/2014,"1.319,50 (-1.304,99)","485.212 (-878.526,42)"
4/12/2014,"1.319,40 (-1.305,09)","485.175 (-878.563,19)"
4/13/2014,"1.319,40 (-1.305,09)","485.175 (-878.563,19)"
4/14/2014,"1.326,50 (-1.297,99)","486.187 (-877.551,65)"
4/15/2014,"1.304,40 (-1.320,09)","478.716 (-885.022,65)"
4/16/2014,"1.302,80 (-1.321,69)","478.129 (-885.609,85)"
4/17/2014,"1.297,90 (-1.326,59)","476.330 (-887.408,15)"
4/18/2014,"1.295,10 (-1.329,39)","475.303 (-888.435,76)"
4/19/2014,"1.295,10 (-1.329,39)","475.303 (-888.435,76)"
4/20/2014,"1.295,10 (-1.329,39)","475.303 (-888.435,76)"
4/21/2014,"1.287,60 (-1.336,89)","472.550 (-891.188,26)"
4/22/2014,"1.282,40 (-1.342,09)","473.116 (-890.622,86)"
4/23/2014,"1.284,20 (-1.340,29)","479.560 (-884.178,47)"
4/24/2014,"1.290,50 (-1.333,99)","481.913 (-881.825,85)"
4/25/2014,"1.302,10 (-1.322,39)","484.570 (-879.168,59)"
4/26/2014,"1.304,50 (-1.319,99)","485.463 (-878.275,44)"
4/27/2014,"1.304,50 (-1.319,99)","485.463 (-878.275,44)"
4/28/2014,"1.297,00 (-1.327,49)","482.672 (-881.066,53)"
4/29/2014,"1.297,00 (-1.327,49)","482.672 (-881.066,53)"
4/30/2014,"1.294,20 (-1.330,29)","480.590 (-883.148,77)"
5/1/2014,"1.284,20 (-1.340,29)","476.876 (-886.862,19)"
5/2/2014,"1.301,10 (-1.323,39)","483.152 (-880.586,52)"
5/3/2014,"1.301,20 (-1.323,29)","483.189 (-880.549,39)"
5/4/2014,"1.301,20 (-1.323,29)","483.189 (-880.549,39)"
5/5/2014,"1.310,20 (-1.314,29)","486.531 (-877.207,32)"
5/6/2014,"1.308,10 (-1.316,39)","484.700 (-879.038,54)"
5/7/2014,"1.290,40 (-1.334,09)","478.141 (-885.597,05)"
5/8/2014,"1.289,70 (-1.334,79)","481.407 (-882.331,92)"
5/9/2014,"1.288,90 (-1.335,59)","478.622 (-885.116,88)"
5/10/2014,"1.290,90 (-1.333,59)","479.364 (-884.374,20)"
5/11/2014,"1.290,90 (-1.333,59)","479.364 (-884.374,20)"
5/12/2014,"1.298,60 (-1.325,89)","481.180 (-882.558,65)"
5/13/2014,"1.296,90 (-1.327,59)","480.550 (-883.188,56)"
5/14/2014,"1.305,60 (-1.318,89)","481.675 (-882.063,69)"
5/15/2014,"1.296,90 (-1.327,59)","478.465 (-885.273,38)"
5/16/2014,"1.294,10 (-1.330,39)","476.392 (-887.346,54)"
5/17/2014,"1.293,40 (-1.331,09)","476.134 (-887.604,22)"
5/18/2014,"1.293,40 (-1.331,09)","476.134 (-887.604,22)"
5/19/2014,"1.295,90 (-1.328,59)","473.930 (-889.808,72)"
5/20/2014,"1.294,70 (-1.329,79)","475.572 (-888.166,30)"
5/21/2014,"1.288,10 (-1.336,39)","475.218 (-888.519,96)"
5/22/2014,"1.295,20 (-1.329,29)","478.879 (-884.859,52)"
5/23/2014,"1.291,10 (-1.333,39)","480.995 (-882.743,31)"
5/24/2014,"1.293,30 (-1.331,19)","481.815 (-881.923,71)"
5/25/2014,"1.293,30 (-1.331,19)","481.815 (-881.923,71)"
5/26/2014,"1.293,40 (-1.331,09)","482.372 (-881.366,66)"
